AOA,CL,CMF,CL_NACELLE,CL,CMF,CL_NACELLE,CL,CMF,CL_NACELLE,CL,CMF,CL_NACELLE
-4,-0.211367,0.010678,-0.020272,-0.190929,0.005252,-0.017076,-0.178271,0.001938,-0.015158,-0.168558,-0.001114,-0.014565
-3,-0.078963,-0.017536,-0.015619,-0.072562,-0.01999,-0.013619,-0.0661,-0.022094,-0.012682,-0.06155,-0.023815,-0.012333
-2,0.051948,-0.046311,-0.011959,0.047708,-0.046028,-0.010717,0.04663,-0.046362,-0.010309,0.045702,-0.046514,-0.009984
-1,0.184177,-0.075617,-0.00857,0.168532,-0.072588,-0.008223,0.159291,-0.070533,-0.007814,0.152928,-0.069141,-0.007499
0,0.318378,-0.106186,-0.006103,0.289108,-0.098966,-0.00561,0.271741,-0.094568,-0.005179,0.260011,-0.091679,-0.004874
1,0.453339,-0.136742,-0.00357,0.409236,-0.125087,-0.002862,0.383787,-0.118417,-0.002414,0.366765,-0.114075,-0.002115
2,0.587791,-0.166915,-0.00084,0.528379,-0.150892,-0.00001,0.49498,-0.142008,0.000466,0.472799,-0.136255,0.000767
3,0.720503,-0.196909,0.001853,0.645079,-0.17626,0.002895,0.604439,-0.165259,0.003438,0.577493,-0.158162,0.003756
4,0.855428,-0.227839,0.004429,0.755307,-0.200876,0.005789,0.710413,-0.188044,0.006469,0.679824,-0.179731,0.00683
