AOA,CL,CMF,CL_NACELLE,TAIL CL,TAIL CDp,WING CL,WING CDp,AOA,CL,CMF,CL_NACELLE,TAIL CL,TAIL CDp,WING CL,WING CDp,AOA,CL,CMF,CL_NACELLE,TAIL CL,TAIL CDp,WING CL,WING CDp,AOA,CL,CMF,CL_NACELLE,TAIL CL,TAIL CDp,WING CL,WING CDp,AOA,CL,CMF,CL_NACELLE,TAIL CL,TAIL CDp,WING CL,WING CDp
-4,-0.361891,0.107727,-0.027634,-0.098201,0.005116,-0.223332,0.006377,-4,-0.334057,0.097526,-0.026805,-0.101439,0.004757,-0.161999,0.012629,-4,-0.378795,0.123286,-0.026443,-0.092892,0.003387,-0.201929,0.002945,-4,,,,,,,,-4,,,,,,,
-3,-0.225709,0.047639,-0.026303,-0.087059,0.002973,-0.072017,-0.003134,-3,-0.212871,0.081527,-0.024786,-0.085102,0.002391,-0.06465,-0.004479,-3,-0.219827,0.08279,-0.021608,-0.080406,0.001686,-0.080759,0.001387,-3,,,,,,,,-3,,,,,,,
-2,-0.029591,0.036082,-0.020918,-0.076423,0.001281,0.084015,-0.005345,-2,-0.028725,0.035419,-0.019303,-0.074363,0.000859,0.080786,0.005639,-2,-0.030418,0.034807,-0.016951,-0.071858,0.000429,0.073868,-0.005804,-2,,,,,,,,-2,,,,,,,
-1,0.161589,-0.012136,-0.015607,-0.065759,0.000005,0.235835,-0.0035,-1,0.15085,-0.010209,-0.014046,-0.063664,0.000245,0.222253,0.003822,-1,0.139619,-0.008723,-0.012117,-0.06131,0.000459,0.207377,-0.003905,-1,,,,,,,,-1,,,,,,,
0,0.352489,-0.060132,-0.010632,-0.055203,-0.000855,0.38806,0.000662,0,0.331489,-0.056032,-0.009225,-0.053164,0.000948,0.365355,-0.000325,0,0.310429,-0.052754,-0.00823,-0.051044,0.001005,0.342766,-0.000406,0,,,,,,,,0,,,,,,,
1,0.549351,-0.110037,-0.006279,-0.045577,0.001358,0.547117,0.006963,1,0.517958,-0.103597,-0.005555,-0.043131,-0.001322,0.515403,0.005324,1,0.483597,-0.097225,-0.00483,-0.041058,0.001289,0.481124,0.004499,1,,,,,,,,1,,,,,,,
2,0.755169,-0.165083,-0.003014,-0.038536,0.0017,0.717123,0.020288,2,0.713546,-0.15344,-0.002303,-0.034342,0.00149,0.675201,0.013128,2,0.659716,-0.140843,-0.001494,-0.031332,0.001355,0.622733,0.010502,2,,,,,,,,2,,,,,,,
3,0.965705,-0.22154,0.000163,-0.032314,-0.001893,0.892389,0.043724,3,0.907931,-0.20424,0.000849,-0.027762,0.00159,0.835552,0.028875,3,0.84392,-0.186688,0.001695,-0.022586,0.001264,0.772535,0.018984,3,,,,,,,,3,,,,,,,
4,1.161468,-0.276183,0.003156,-0.027233,0.00201,1.055039,0.074684,4,1.09304,-0.25507,0.00377,-0.022414,0.001613,0.988548,0.054303,4,1.021372,-0.232897,0.004656,-0.015727,0.001103,0.917687,0.035175,4,,,,,,,,4,,,,,,,
