TITLE     = "VTK Data"
VARIABLES = "X"
"Velocity_X"
ZONE T="Slice: Y=3.41 (region 1)"
 STRANDID=332, SOLUTIONTIME=772
 I=340, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 3.341698074E+01 1.462695007E+02
 3.341658401E+01 1.500124817E+02
 3.341603851E+01 1.549877167E+02
 3.338562775E+01 1.862651520E+02
 3.337772369E+01 1.937563477E+02
 3.337167358E+01 1.935796814E+02
 3.333512115E+01 1.919410706E+02
 3.329650497E+01 1.931651764E+02
 3.329039764E+01 1.932958374E+02
 3.328019714E+01 1.934039001E+02
 3.324294662E+01 1.937343597E+02
 3.322590637E+01 1.938899841E+02
 3.319328690E+01 1.940790100E+02
 3.316514969E+01 1.943601379E+02
 3.314529037E+01 1.945637665E+02
 3.310663223E+01 1.949353943E+02
 3.309330368E+01 1.950650787E+02
 3.304811096E+01 1.956299438E+02
 3.303915787E+01 1.957443237E+02
 3.299267578E+01 1.963309479E+02
 3.298348618E+01 1.964449463E+02
 3.293686676E+01 1.970435638E+02
 3.292370605E+01 1.972253418E+02
 3.288278580E+01 1.977988129E+02
 3.286199570E+01 1.981221619E+02
 3.282851410E+01 1.986516876E+02
 3.280287552E+01 1.990668182E+02
 3.275554276E+01 1.997761993E+02
 3.275416565E+01 1.997972565E+02
 3.275328827E+01 1.998107910E+02
 3.270701981E+01 2.006377716E+02
 3.269057846E+01 2.009921570E+02
 3.263039398E+01 2.021585236E+02
 3.262721252E+01 2.022183380E+02
 3.262189102E+01 2.023226013E+02
 3.256795883E+01 2.033378906E+02
 3.253340912E+01 2.040879517E+02
 3.250297546E+01 2.047364807E+02
 3.245113373E+01 2.058833008E+02
 3.242906952E+01 2.063484802E+02
 3.241328049E+01 2.066848602E+02
 3.234862518E+01 2.080482330E+02
 3.226393509E+01 2.098955536E+02
 3.225669861E+01 2.100521393E+02
 3.224906158E+01 2.102187653E+02
 3.215610504E+01 2.122104034E+02
 3.207046890E+01 2.140775604E+02
 3.203862762E+01 2.147388611E+02
 3.198681259E+01 2.157994537E+02
 3.190596962E+01 2.173972473E+02
 3.185898018E+01 2.183673706E+02
 3.175848198E+01 2.204156342E+02
 3.161943054E+01 2.231227417E+02
 3.157717323E+01 2.239286346E+02
