TITLE     = "VTK Data"
VARIABLES = "X"
"Velocity_X"
ZONE T="Slice: Y=31.012 (region 1)"
 STRANDID=502, SOLUTIONTIME=772
 I=200, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 4.371316528E+01 2.091530914E+02
 4.371331406E+01 2.072304382E+02
 4.371391678E+01 1.985488129E+02
 4.366674423E+01 1.986828918E+02
 4.361422348E+01 1.986664581E+02
 4.355031586E+01 1.972585297E+02
 4.350266647E+01 1.962413788E+02
 4.342689133E+01 1.967503662E+02
 4.339091492E+01 1.968961029E+02
 4.330028534E+01 2.005773926E+02
 4.328528976E+01 2.011662445E+02
 4.324908829E+01 2.024159546E+02
 4.318497086E+01 2.046856689E+02
 4.315729904E+01 2.061044464E+02
 4.309416199E+01 2.094167633E+02
 4.299809647E+01 2.141633911E+02
 4.299188232E+01 2.144747925E+02
 4.298896027E+01 2.146395111E+02
 4.297246170E+01 2.155222626E+02
 4.289193726E+01 2.198465118E+02
 4.287369156E+01 2.208733063E+02
 4.280211639E+01 2.248078918E+02
 4.275748062E+01 2.272667389E+02
 4.270537949E+01 2.299957581E+02
 4.262100601E+01 2.343048096E+02
 4.258384323E+01 2.362054291E+02
 4.252156067E+01 2.392955627E+02
 4.248482132E+01 2.411569977E+02
 4.238629150E+01 2.456340332E+02
 4.237742996E+01 2.460402374E+02
 4.237571716E+01 2.461101685E+02
 4.237159729E+01 2.462883148E+02
 4.227307510E+01 2.505101013E+02
 4.220994568E+01 2.526811218E+02
 4.218518066E+01 2.535658264E+02
 4.209131622E+01 2.564222107E+02
 4.209084320E+01 2.564372864E+02
 4.208848190E+01 2.565021973E+02
 4.200693893E+01 2.587559814E+02
 4.199060059E+01 2.590355835E+02
 4.193274307E+01 2.601324768E+02
 4.190706253E+01 2.603791504E+02
 4.186627579E+01 2.607456970E+02
 4.180431366E+01 2.611329651E+02
 4.178442001E+01 2.612892761E+02
 4.171919250E+01 2.613364868E+02
 4.170326614E+01 2.613540039E+02
 4.163825989E+01 2.607500000E+02
 4.162255859E+01 2.606048279E+02
 4.155575562E+01 2.598459778E+02
 4.153665543E+01 2.596444397E+02
 4.149295425E+01 2.592650146E+02
 4.148247147E+01 2.591532898E+02
 4.147367477E+01 2.588712158E+02
 4.143296814E+01 2.576671753E+02
 4.141836929E+01 2.573050537E+02
 4.139688873E+01 2.566071777E+02
 4.135772324E+01 2.554852905E+02
 4.132180786E+01 2.545852203E+02
 4.129274750E+01 2.538870392E+02
 4.126140213E+01 2.530342102E+02
 4.125195694E+01 2.526947327E+02
 4.121496582E+01 2.514537048E+02
 4.120775986E+01 2.512008057E+02
 4.116526031E+01 2.493758545E+02
 4.116440201E+01 2.493333588E+02
 4.116115952E+01 2.492033081E+02
 4.111907959E+01 2.474913330E+02
 4.110735703E+01 2.470555115E+02
 4.107379913E+01 2.456732941E+02
 4.105311203E+01 2.447889252E+02
 4.102904510E+01 2.437165375E+02
 4.100135040E+01 2.425048370E+02
 4.098427582E+01 2.416621246E+02
 4.095446014E+01 2.402109680E+02
 4.094069672E+01 2.393375397E+02
 4.091211700E+01 2.376060028E+02
 4.088698959E+01 2.356506500E+02
 4.087213516E+01 2.344998169E+02
 4.086112595E+01 2.331871185E+02
 4.083870697E+01 2.304738922E+02
 4.083074951E+01 2.288468933E+02
 4.081089783E+01 2.249255066E+02
 4.081018448E+01 2.246735229E+02
 4.080764389E+01 2.238003845E+02
 4.079228973E+01 2.184898071E+02
 4.078789139E+01 2.170145874E+02
 4.077633286E+01 2.101181946E+02
 4.076903534E+01 2.058737183E+02
 4.076226425E+01 1.990055695E+02
 4.075377274E+01 1.905947418E+02
 4.075013733E+01 1.845600891E+02
 4.074168015E+01 1.707942810E+02
 4.073996735E+01 1.663425293E+02
 4.073238373E+01 1.469276428E+02
 4.073175049E+01 1.444973450E+02
 4.072562027E+01 1.213007660E+02
 4.072229004E+01 1.038061905E+02
 4.072114182E+01 9.776808929E+01
 4.072111511E+01 9.760199738E+01
 4.071867752E+01 8.254485321E+01
 4.071865463E+01 8.246675873E+01
 4.071780396E+01 7.976020050E+01
 4.071831512E+01 9.306235504E+01
 4.071831512E+01 9.310843658E+01
 4.071849060E+01 9.517441559E+01
 4.072082138E+01 1.227305374E+02
 4.072105789E+01 1.245720673E+02
 4.072568893E+01 1.599318848E+02
 4.072672272E+01 1.647130127E+02
 4.073300552E+01 1.935555573E+02
 4.073574448E+01 2.006769104E+02
 4.074285126E+01 2.190126343E+02
 4.074872971E+01 2.273571777E+02
 4.075539780E+01 2.367543030E+02
 4.076673889E+01 2.454066315E+02
 4.077098465E+01 2.486235962E+02
 4.078589249E+01 2.546362915E+02
 4.079006195E+01 2.563251648E+02
 4.079206848E+01 2.567727661E+02
 4.081316757E+01 2.614572144E+02
 4.083061600E+01 2.637330017E+02
 4.084101486E+01 2.650872192E+02
 4.085733032E+01 2.664468689E+02
 4.087440872E+01 2.678782959E+02
 4.089586639E+01 2.692538147E+02
 4.091428757E+01 2.704349365E+02
 4.092252731E+01 2.708945007E+02
 4.095640564E+01 2.728002625E+02
 4.096287537E+01 2.730809631E+02
 4.100300598E+01 2.747884216E+02
 4.100512314E+01 2.748682251E+02
 4.102146149E+01 2.754752502E+02
 4.104849625E+01 2.764839172E+02
 4.105197906E+01 2.766182861E+02
 4.109455872E+01 2.781972656E+02
 4.110036850E+01 2.784212036E+02
 4.113665771E+01 2.798720703E+02
 4.114533615E+01 2.801747131E+02
 4.117512512E+01 2.810642395E+02
 4.121606064E+01 2.823887939E+02
 4.121626663E+01 2.823959656E+02
 4.121673965E+01 2.824089661E+02
 4.126258850E+01 2.836909180E+02
 4.127349472E+01 2.840206299E+02
 4.130590439E+01 2.848226013E+02
 4.133151245E+01 2.854883423E+02
 4.134341812E+01 2.858067017E+02
 4.138867188E+01 2.869947815E+02
 4.142854309E+01 2.881079712E+02
 4.144642639E+01 2.886244202E+02
 4.150764084E+01 2.901549377E+02
 4.151544952E+01 2.903308716E+02
 4.152645111E+01 2.905264587E+02
 4.158088684E+01 2.914716492E+02
 4.163651276E+01 2.920645447E+02
 4.165860367E+01 2.922850952E+02
 4.168208313E+01 2.926214600E+02
 4.172954941E+01 2.932417297E+02
 4.176627350E+01 2.935838318E+02
 4.181156158E+01 2.937885742E+02
 4.184801865E+01 2.938157959E+02
 4.190361023E+01 2.937324829E+02
 4.193582916E+01 2.936610413E+02
 4.197727966E+01 2.934833069E+02
 4.201855469E+01 2.930364075E+02
 4.205753708E+01 2.924945679E+02
 4.210631180E+01 2.916313171E+02
 4.214037323E+01 2.912720032E+02
 4.222452927E+01 2.895867920E+02
 4.224087143E+01 2.892508240E+02
 4.224554062E+01 2.891484070E+02
 4.225430679E+01 2.889732056E+02
 4.235414124E+01 2.868565979E+02
 4.240960693E+01 2.854417419E+02
 4.245456696E+01 2.844258118E+02
 4.250173569E+01 2.831279907E+02
 4.255603027E+01 2.814882507E+02
 4.262360764E+01 2.792042542E+02
 4.263074875E+01 2.789368896E+02
 4.270339203E+01 2.760872803E+02
 4.275548553E+01 2.736275940E+02
 4.279855347E+01 2.716798706E+02
 4.288997650E+01 2.677782898E+02
 4.290744781E+01 2.670447693E+02
 4.298486328E+01 2.638657837E+02
 4.301111984E+01 2.626671143E+02
