TITLE     = "VTK Data"
VARIABLES = "X"
"Velocity_X"
ZONE T="Slice: Y=11.366 (region 1)"
 STRANDID=381, SOLUTIONTIME=772
 I=524, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 2.693862724E+01 1.760928650E+02
 2.693842506E+01 1.758931274E+02
 2.693685150E+01 1.743710175E+02
 2.683775139E+01 1.763829193E+02
 2.683556557E+01 1.764328003E+02
 2.682578278E+01 1.755339203E+02
 2.672238350E+01 1.660941315E+02
 2.669427109E+01 1.642927246E+02
 2.659581947E+01 1.580891113E+02
 2.651981544E+01 1.546698151E+02
 2.646135712E+01 1.520389862E+02
 2.639938545E+01 1.494371643E+02
 2.633936691E+01 1.471642151E+02
 2.625105476E+01 1.444526825E+02
 2.620219231E+01 1.429473724E+02
 2.611600685E+01 1.403497620E+02
 2.607090378E+01 1.389914856E+02
 2.604059410E+01 1.382439423E+02
 2.594936371E+01 1.360921631E+02
 2.586903572E+01 1.344869080E+02
 2.581314468E+01 1.333731995E+02
 2.569513893E+01 1.310385437E+02
 2.564936638E+01 1.301336517E+02
 2.562641907E+01 1.296963043E+02
 2.548304176E+01 1.270179214E+02
 2.539131737E+01 1.257051010E+02
 2.531694984E+01 1.247232513E+02
 2.513762474E+01 1.228585281E+02
 2.513099098E+01 1.227798157E+02
 2.512552834E+01 1.227177048E+02
 2.495816994E+01 1.207004776E+02
 2.493934441E+01 1.205148468E+02
 2.483318138E+01 1.194990921E+02
 2.470216370E+01 1.193073196E+02
 2.470158386E+01 1.193077087E+02
 2.453293800E+01 1.188003082E+02
 2.450503540E+01 1.186595459E+02
 2.436767960E+01 1.176456528E+02
 2.431953049E+01 1.172964249E+02
 2.430973816E+01 1.173146286E+02
 2.415089607E+01 1.176725998E+02
 2.392147827E+01 1.177159271E+02
 2.392065239E+01 1.177150269E+02
 2.391991806E+01 1.177187195E+02
 2.368262291E+01 1.186388321E+02
 2.351278877E+01 1.195367126E+02
 2.344086266E+01 1.199764862E+02
 2.331343079E+01 1.210307922E+02
 2.320560455E+01 1.219329147E+02
 2.315368652E+01 1.225359268E+02
 2.296857452E+01 1.249223175E+02
 2.287187386E+01 1.265067444E+02
