TITLE     = "VTK Data"
VARIABLES = "X"
"Velocity_X"
ZONE T="Slice: Y=29.064 (region 1)"
 STRANDID=490, SOLUTIONTIME=772
 I=214, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 4.280488205E+01 1.687932129E+02
 4.280532837E+01 1.749181519E+02
 4.280547714E+01 1.758215179E+02
 4.277731323E+01 1.897980042E+02
 4.277481461E+01 1.907459717E+02
 4.274152374E+01 1.804252014E+02
 4.273872757E+01 1.797662659E+02
 4.270457458E+01 1.786255951E+02
 4.269186783E+01 1.782499847E+02
 4.266325378E+01 1.782608643E+02
 4.263723755E+01 1.783431702E+02
 4.261796570E+01 1.784604187E+02
 4.257875824E+01 1.789080505E+02
 4.256943512E+01 1.791438141E+02
 4.254936981E+01 1.798234711E+02
 4.251811600E+01 1.808660736E+02
 4.249019623E+01 1.818803101E+02
 4.246298599E+01 1.829019318E+02
 4.244739151E+01 1.835259705E+02
 4.240605927E+01 1.850235291E+02
 4.237256241E+01 1.864515991E+02
 4.235148621E+01 1.873632507E+02
 4.230369186E+01 1.896937714E+02
 4.229693222E+01 1.900277710E+02
 4.226329422E+01 1.917398224E+02
 4.223925781E+01 1.929671631E+02
 4.223474121E+01 1.931968842E+02
 4.218068695E+01 1.959359283E+02
 4.216378021E+01 1.968778992E+02
 4.211148453E+01 1.997247467E+02
 4.206083679E+01 2.025015106E+02
 4.203578186E+01 2.038232880E+02
 4.197976303E+01 2.069238892E+02
 4.197737503E+01 2.070594025E+02
 4.192170715E+01 2.102072601E+02
 4.188436127E+01 2.123126678E+02
 4.184010696E+01 2.147855530E+02
 4.178670883E+01 2.178479004E+02
 4.175033951E+01 2.197844086E+02
 4.171240616E+01 2.217638855E+02
 4.164114761E+01 2.254536285E+02
 4.160506058E+01 2.273300934E+02
 4.150447083E+01 2.322631378E+02
 4.149328613E+01 2.328040161E+02
 4.148638535E+01 2.330811768E+02
 4.140012741E+01 2.368576660E+02
 4.135509491E+01 2.385300751E+02
 4.124228668E+01 2.425345917E+02
 4.123837280E+01 2.426713104E+02
 4.123471069E+01 2.427732391E+02
 4.112297058E+01 2.460707245E+02
 4.099325562E+01 2.489668121E+02
 4.099304581E+01 2.489713287E+02
 4.099291229E+01 2.489732666E+02
