TITLE     = "VTK Data"
VARIABLES = "X"
"Velocity_X"
ZONE T="Slice: Y=8.443 (region 1)"
 STRANDID=363, SOLUTIONTIME=772
 I=418, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 2.652664948E+01 2.310178070E+02
 2.656612396E+01 2.293511047E+02
 2.662648201E+01 2.267897949E+02
 2.664504623E+01 2.259316559E+02
 2.670125771E+01 2.225939331E+02
 2.673851776E+01 2.201941833E+02
 2.674753952E+01 2.194976196E+02
 2.675197792E+01 2.183492279E+02
 2.674934959E+01 2.183080444E+02
 2.670944405E+01 2.190339203E+02
 2.666280174E+01 2.203865051E+02
 2.663043785E+01 2.213992615E+02
 2.660382080E+01 2.222776642E+02
 2.652237511E+01 2.239276123E+02
 2.643641853E+01 2.258399963E+02
 2.639302254E+01 2.268303528E+02
 2.626556587E+01 2.299238129E+02
 2.624004364E+01 2.306790009E+02
 2.609052658E+01 2.349731598E+02
 2.606179237E+01 2.361909332E+02
 2.591211891E+01 2.423482971E+02
 2.584839630E+01 2.451754456E+02
 2.572121429E+01 2.515183716E+02
 2.559840775E+01 2.573034668E+02
 2.558950424E+01 2.576816711E+02
 2.554746819E+01 2.584054565E+02
 2.541396523E+01 2.605653687E+02
 2.539347458E+01 2.608060913E+02
 2.517933846E+01 2.649239807E+02
 2.514449501E+01 2.655215149E+02
 2.498604012E+01 2.661473083E+02
 2.491007996E+01 2.666171265E+02
 2.489159203E+01 2.664335327E+02
 2.467185020E+01 2.631020508E+02
 2.445030594E+01 2.615735779E+02
 2.436233521E+01 2.611449280E+02
 2.426116562E+01 2.613364258E+02
 2.403079224E+01 2.617009583E+02
 2.378937531E+01 2.623045044E+02
 2.372574806E+01 2.624329529E+02
 2.368325806E+01 2.625049744E+02
 2.344508934E+01 2.628605347E+02
 2.329690742E+01 2.628295288E+02
 2.321019745E+01 2.628533936E+02
 2.306767082E+01 2.629648743E+02
 2.293106079E+01 2.635828247E+02
 2.290229225E+01 2.636915894E+02
 2.288480568E+01 2.637394409E+02
 2.276441574E+01 2.645613098E+02
 2.274359512E+01 2.643630981E+02
 2.266720009E+01 2.634768982E+02
 2.265456963E+01 2.634055481E+02
 2.251951408E+01 2.610305481E+02
 2.248592758E+01 2.605101013E+02
 2.244406509E+01 2.601369629E+02
 2.233715820E+01 2.590502930E+02
 2.227687263E+01 2.580601807E+02
 2.222906113E+01 2.569992676E+02
 2.216147232E+01 2.548205261E+02
 2.214942360E+01 2.543616943E+02
 2.206787300E+01 2.491808777E+02
 2.205482101E+01 2.483476868E+02
 2.203447914E+01 2.466062622E+02
 2.195483780E+01 2.406379089E+02
 2.189053917E+01 2.395561981E+02
 2.186898422E+01 2.414192505E+02
 2.180455399E+01 2.717326660E+02
 2.177622795E+01 2.830480652E+02
 2.176865005E+01 2.882660828E+02
 2.171116447E+01 3.256976318E+02
 2.166984749E+01 3.530371094E+02
 2.166320801E+01 3.536053162E+02
 2.158800125E+01 3.574524536E+02
 2.156785774E+01 3.523140869E+02
 2.151216888E+01 3.366913147E+02
 2.148390388E+01 3.272225342E+02
 2.143975258E+01 3.119010010E+02
 2.140749931E+01 3.003074341E+02
 2.137598038E+01 2.896667480E+02
 2.134113121E+01 2.771920776E+02
 2.132064438E+01 2.705010376E+02
 2.129741859E+01 2.631400757E+02
 2.127437592E+01 2.560161743E+02
 2.126488876E+01 2.521455078E+02
 2.123682594E+01 2.407418823E+02
 2.123656845E+01 2.405837402E+02
 2.123572922E+01 2.400285797E+02
 2.121356964E+01 2.256051483E+02
 2.120670700E+01 2.209738007E+02
 2.119359970E+01 2.103967285E+02
 2.118254852E+01 2.013398132E+02
 2.117629623E+01 1.961105804E+02
 2.116310310E+01 1.845931396E+02
 2.116135597E+01 1.831058655E+02
 2.115409470E+01 1.764491119E+02
 2.114872360E+01 1.715760345E+02
 2.114741135E+01 1.705086365E+02
 2.114568901E+01 1.690772400E+02
 2.113469505E+01 1.604872742E+02
 2.113057899E+01 1.572237244E+02
 2.112435532E+01 1.526216583E+02
 2.111920738E+01 1.487967682E+02
 2.111592293E+01 1.464749451E+02
 2.111052513E+01 1.467554474E+02
 2.110902405E+01 1.469525452E+02
 2.110380936E+01 1.473458557E+02
 2.110336876E+01 1.473872833E+02
 2.110019112E+01 1.003371506E+02
 2.109871292E+01 7.849694824E+01
 2.109867859E+01 7.533274841E+01
 2.109787750E+01 -2.290438861E-01
 2.109835243E+01 -1.033198452E+01
 2.109855270E+01 -1.461932373E+01
 2.109944153E+01 -1.774070549E+01
 2.110022545E+01 -1.942017746E+01
