TITLE     = "VTK Data"
VARIABLES = "X"
"Velocity_X"
ZONE T="Slice: Y=25.329 (region 1)"
 STRANDID=467, SOLUTIONTIME=772
 I=181, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 4.106336594E+01 2.053856812E+02
 4.106377792E+01 1.909332275E+02
 4.106381607E+01 1.893327179E+02
 4.101282501E+01 1.818874817E+02
 4.096743774E+01 1.750947113E+02
 4.095939636E+01 1.749224548E+02
 4.085546875E+01 1.725591888E+02
 4.083852386E+01 1.725257111E+02
 4.073599625E+01 1.727344513E+02
 4.071302032E+01 1.737332611E+02
 4.060803223E+01 1.781954193E+02
 4.057327652E+01 1.795854034E+02
 4.049126434E+01 1.823037109E+02
 4.040098190E+01 1.871051941E+02
 4.038543320E+01 1.878536987E+02
 4.034758759E+01 1.896460114E+02
 4.026842880E+01 1.933955231E+02
 4.024427414E+01 1.946046448E+02
 4.014807129E+01 1.997522736E+02
 4.005200958E+01 2.045634155E+02
 4.000340652E+01 2.069611511E+02
 3.995829010E+01 2.092185211E+02
 3.986627579E+01 2.138445587E+02
 3.977944183E+01 2.180204773E+02
 3.971941376E+01 2.210229492E+02
 3.963189697E+01 2.251040344E+02
 3.959124374E+01 2.268805389E+02
 3.947051239E+01 2.316297150E+02
 3.942546844E+01 2.332130127E+02
 3.931238174E+01 2.369924011E+02
 3.922588730E+01 2.392820587E+02
 3.914212799E+01 2.415243530E+02
 3.904664612E+01 2.433806915E+02
 3.895749283E+01 2.451967163E+02
 3.887819672E+01 2.464055023E+02
 3.879072952E+01 2.477055817E+02
 3.871184540E+01 2.485662842E+02
 3.863922882E+01 2.493591156E+02
 3.853984833E+01 2.499493256E+02
 3.849425507E+01 2.503445740E+02
 3.844204330E+01 2.504409180E+02
 3.835193634E+01 2.505457458E+02
 3.824912643E+01 2.506858368E+02
 3.820583725E+01 2.507040710E+02
 3.809218597E+01 2.508436584E+02
 3.807620621E+01 2.508152771E+02
 3.800563049E+01 2.503535156E+02
 3.795509720E+01 2.500651093E+02
 3.794379807E+01 2.500058594E+02
 3.783517075E+01 2.492449188E+02
 3.782220459E+01 2.491527863E+02
 3.782077026E+01 2.491371002E+02
 3.771303177E+01 2.479308624E+02
 3.770652390E+01 2.478226929E+02
 3.766041946E+01 2.471363220E+02
 3.760883331E+01 2.463603973E+02
 3.760147858E+01 2.462579803E+02
 3.751900101E+01 2.447540436E+02
 3.748817062E+01 2.441768494E+02
 3.743040085E+01 2.428359070E+02
 3.738474274E+01 2.417759094E+02
 3.734231567E+01 2.405864258E+02
 3.728729248E+01 2.390657959E+02
 3.725704575E+01 2.379864349E+02
 3.720024872E+01 2.359696655E+02
 3.718403625E+01 2.352484894E+02
 3.715243530E+01 2.338544769E+02
 3.713181305E+01 2.329417419E+02
 3.712114716E+01 2.324745636E+02
 3.708444595E+01 2.303080139E+02
 3.705530930E+01 2.286053772E+02
 3.704039383E+01 2.273163300E+02
 3.700065994E+01 2.239050903E+02
 3.700004578E+01 2.238208923E+02
 3.699790573E+01 2.235306549E+02
 3.696496582E+01 2.190558014E+02
 3.695544052E+01 2.177691193E+02
 3.693349075E+01 2.127928619E+02
 3.691820526E+01 2.093453522E+02
 3.690562057E+01 2.044452820E+02
 3.688782120E+01 1.975476227E+02
 3.688137436E+01 1.932505951E+02
 3.686336136E+01 1.812899017E+02
 3.686072540E+01 1.783344421E+02
 3.684414673E+01 1.598141327E+02
 3.684364319E+01 1.588964844E+02
 3.683757401E+01 1.478901978E+02
 3.683032990E+01 1.347532501E+02
 3.682972717E+01 1.336640472E+02
 3.682076645E+01 1.090435486E+02
 3.681984329E+01 1.065166168E+02
 3.681928253E+01 1.044975586E+02
 3.681426239E+01 8.640931702E+01
 3.681403732E+01 8.574177551E+01
 3.681244278E+01 8.095851135E+01
 3.681322861E+01 8.978959656E+01
 3.681332397E+01 9.085540771E+01
 3.681706238E+01 1.133641968E+02
 3.681734085E+01 1.150426178E+02
 3.682535553E+01 1.499636078E+02
 3.682553482E+01 1.507393036E+02
 3.682555389E+01 1.508032837E+02
 3.683849716E+01 1.892870026E+02
 3.684063721E+01 1.933028412E+02
 3.685660172E+01 2.232475586E+02
 3.686338425E+01 2.307876282E+02
 3.688027954E+01 2.495671387E+02
 3.689582443E+01 2.590544739E+02
 3.691015244E+01 2.678062134E+02
 3.694128418E+01 2.772817688E+02
 3.694709396E+01 2.790535278E+02
 3.696370316E+01 2.813412170E+02
 3.699222183E+01 2.852705383E+02
 3.700988007E+01 2.863003235E+02
 3.704689026E+01 2.884579773E+02
 3.710724640E+01 2.899131775E+02
 3.711288452E+01 2.900499268E+02
 3.711975098E+01 2.901500244E+02
 3.719223785E+01 2.912077332E+02
 3.722534561E+01 2.915758362E+02
 3.727956772E+01 2.921977234E+02
 3.730709076E+01 2.924081726E+02
 3.737732697E+01 2.929306641E+02
 3.739225006E+01 2.930164490E+02
 3.745905304E+01 2.933352356E+02
 3.748156738E+01 2.934447937E+02
 3.748665237E+01 2.934714661E+02
 3.757379150E+01 2.942464294E+02
 3.760203171E+01 2.945215454E+02
 3.766386032E+01 2.954564209E+02
 3.769108582E+01 2.958305969E+02
 3.774383163E+01 2.965089722E+02
 3.781354141E+01 2.974799805E+02
 3.782217789E+01 2.976071777E+02
 3.786047745E+01 2.976993408E+02
 3.792570114E+01 2.978455811E+02
 3.793566132E+01 2.978643494E+02
 3.801257706E+01 2.981225281E+02
 3.808487320E+01 2.983505859E+02
 3.809215164E+01 2.984109802E+02
 3.810440445E+01 2.984840088E+02
 3.821519470E+01 2.991140442E+02
 3.833451080E+01 2.990571289E+02
 3.835032272E+01 2.990528259E+02
 3.836052704E+01 2.990108337E+02
 3.849705505E+01 2.987473450E+02
 3.853790283E+01 2.986932678E+02
 3.862513351E+01 2.987130737E+02
 3.873085785E+01 2.988196106E+02
 3.878071976E+01 2.989723511E+02
 3.886167908E+01 2.996010437E+02
 3.896414948E+01 3.002466736E+02
 3.902913284E+01 3.010534668E+02
 3.914327621E+01 3.029478455E+02
 3.930807877E+01 3.056242676E+02
 3.933531189E+01 3.060631104E+02
 3.935469818E+01 3.062926941E+02
 3.955093384E+01 3.087512817E+02
 3.959930420E+01 3.084908142E+02
 3.975006485E+01 3.075501709E+02
 3.980406952E+01 3.058715820E+02
 3.989538574E+01 3.032196655E+02
 3.992914963E+01 3.022501831E+02
 4.004909134E+01 2.939521179E+02
 4.005557632E+01 2.935259399E+02
 4.019930267E+01 2.841491394E+02
 4.020504761E+01 2.837856750E+02
 4.033917618E+01 2.777270203E+02
 4.035020065E+01 2.772254028E+02
 4.047211456E+01 2.746908569E+02
 4.048422241E+01 2.744138489E+02
 4.060014343E+01 2.735784912E+02
 4.062052155E+01 2.733887939E+02
 4.072463608E+01 2.746643982E+02
 4.074967575E+01 2.749374695E+02
 4.084626007E+01 2.698249207E+02
 4.086532593E+01 2.688986206E+02
 4.096470642E+01 2.563198547E+02
 4.097246933E+01 2.551728516E+02
 4.100838470E+01 2.355204926E+02
 4.106336594E+01 2.053856812E+02
