TITLE     = "VTK Data"
VARIABLES = "X"
"Velocity_X"
ZONE T="Slice: Y=25.817 (region 1)"
 STRANDID=470, SOLUTIONTIME=772
 I=182, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 4.129086304E+01 1.991140137E+02
 4.129123306E+01 1.857437897E+02
 4.129132843E+01 1.824767303E+02
 4.127825928E+01 1.810009155E+02
 4.120643616E+01 1.729654541E+02
 4.117911530E+01 1.728201752E+02
 4.111052322E+01 1.731329041E+02
 4.108126068E+01 1.730096283E+02
 4.099334717E+01 1.729194336E+02
 4.097470856E+01 1.736479492E+02
 4.086568832E+01 1.780400848E+02
 4.086084366E+01 1.782225189E+02
 4.082345200E+01 1.796366577E+02
 4.074139023E+01 1.827268219E+02
 4.073101044E+01 1.831171875E+02
 4.061571121E+01 1.888332062E+02
 4.058990860E+01 1.901111755E+02
 4.048386765E+01 1.951732941E+02
 4.044099808E+01 1.972397919E+02
 4.034578705E+01 2.021085358E+02
 4.028583527E+01 2.052185059E+02
 4.019939423E+01 2.097600250E+02
 4.012776566E+01 2.135278473E+02
 4.003645325E+01 2.178690491E+02
 3.990630722E+01 2.239937134E+02
 3.987803650E+01 2.252745056E+02
 3.982014465E+01 2.275135193E+02
 3.970599365E+01 2.321090698E+02
 3.966037369E+01 2.340132446E+02
 3.947780991E+01 2.396872864E+02
 3.947388077E+01 2.398029633E+02
 3.947071457E+01 2.398955994E+02
 3.928557968E+01 2.442304535E+02
 3.926850891E+01 2.445663147E+02
 3.911100388E+01 2.470275574E+02
 3.907766724E+01 2.475247955E+02
 3.895452499E+01 2.489480896E+02
 3.890372849E+01 2.495003357E+02
 3.881197357E+01 2.501396637E+02
 3.874657440E+01 2.506360321E+02
 3.870020676E+01 2.507573700E+02
 3.863390732E+01 2.509118958E+02
 3.856059647E+01 2.511605682E+02
 3.854210663E+01 2.512046509E+02
 3.846100616E+01 2.511171570E+02
 3.843840027E+01 2.510996704E+02
 3.834599686E+01 2.505009766E+02
 3.832344818E+01 2.503864136E+02
 3.828198242E+01 2.501929169E+02
 3.821258545E+01 2.498014221E+02
 3.816342926E+01 2.494759216E+02
 3.811388016E+01 2.491561432E+02
 3.803519440E+01 2.482452545E+02
 3.802292252E+01 2.481141052E+02
 3.793621445E+01 2.466309967E+02
 3.791928101E+01 2.463642120E+02
 3.784011459E+01 2.448933563E+02
 3.780888748E+01 2.443245239E+02
 3.775062943E+01 2.429790649E+02
 3.770755768E+01 2.419694824E+02
 3.766437912E+01 2.407222748E+02
 3.761180115E+01 2.392112122E+02
 3.758087921E+01 2.380692139E+02
 3.752612686E+01 2.360586090E+02
 3.750959396E+01 2.352970276E+02
 3.747718048E+01 2.338142395E+02
 3.745841217E+01 2.329524841E+02
 3.744877243E+01 2.325135956E+02
 3.741214752E+01 2.302700500E+02
 3.738447189E+01 2.285874023E+02
 3.736916351E+01 2.272214050E+02
 3.733113098E+01 2.238462524E+02
 3.732982254E+01 2.236624756E+02
 3.732525635E+01 2.230234222E+02
 3.729558945E+01 2.188684692E+02
 3.728704071E+01 2.176785583E+02
 3.726498413E+01 2.125336914E+02
 3.725074768E+01 2.092292633E+02
 3.723789978E+01 2.040850372E+02
 3.722113037E+01 1.974000092E+02
 3.721435547E+01 1.927533569E+02
 3.719730377E+01 1.811105957E+02
 3.719432068E+01 1.776715088E+02
 3.717859650E+01 1.596076508E+02
 3.717777634E+01 1.580726166E+02
 3.716779709E+01 1.394906616E+02
 3.716481018E+01 1.339248352E+02
 3.716456604E+01 1.334672546E+02
 3.715560532E+01 1.082023621E+02
 3.715495300E+01 1.063712234E+02
 3.715455627E+01 1.049110489E+02
 3.714952469E+01 8.635197449E+01
 3.714935684E+01 8.583593750E+01
 3.714775085E+01 8.096797943E+01
 3.714854813E+01 9.025542450E+01
 3.714861679E+01 9.105957794E+01
 3.715243912E+01 1.147554474E+02
 3.715259552E+01 1.157323761E+02
 3.715705109E+01 1.356351624E+02
 3.716068268E+01 1.518550873E+02
 3.716112137E+01 1.531972351E+02
 3.717342758E+01 1.904779358E+02
 3.717615128E+01 1.956553802E+02
 3.719117737E+01 2.241876221E+02
 3.719869232E+01 2.325799713E+02
 3.721434784E+01 2.500785065E+02
 3.723072052E+01 2.600526123E+02
 3.724354172E+01 2.678774719E+02
 3.727550888E+01 2.775297546E+02
 3.727962112E+01 2.787752991E+02
 3.729137421E+01 2.803790283E+02
 3.732369232E+01 2.847781677E+02
 3.734359741E+01 2.859315186E+02
 3.737711334E+01 2.878766479E+02
 3.743211746E+01 2.892334900E+02
 3.744162750E+01 2.894668884E+02
 3.745310211E+01 2.896400452E+02
 3.751932526E+01 2.906278076E+02
 3.754979324E+01 2.909822693E+02
 3.760528946E+01 2.916525269E+02
 3.762969589E+01 2.918760376E+02
 3.770129395E+01 2.925682373E+02
 3.771292114E+01 2.926739197E+02
 3.777372742E+01 2.931787109E+02
 3.779816437E+01 2.933818054E+02
 3.780282593E+01 2.934129944E+02
 3.788538361E+01 2.942308350E+02
 3.790686798E+01 2.944806824E+02
 3.798062897E+01 2.951869507E+02
 3.800051880E+01 2.953945007E+02
 3.802562714E+01 2.956618958E+02
 3.809915924E+01 2.961755676E+02
 3.813961792E+01 2.963515625E+02
 3.825588989E+01 2.967916870E+02
 3.825817871E+01 2.968026428E+02
 3.825916672E+01 2.968084106E+02
 3.836665344E+01 2.979011230E+02
 3.837020111E+01 2.979057617E+02
 3.845788574E+01 2.981116028E+02
 3.848830414E+01 2.980849915E+02
 3.853370285E+01 2.980007019E+02
 3.863151550E+01 2.978235474E+02
 3.871593475E+01 2.978998413E+02
 3.876774597E+01 2.980584106E+02
 3.887500763E+01 2.984845886E+02
 3.891379929E+01 2.986464844E+02
 3.903320312E+01 2.993166809E+02
 3.906083679E+01 2.995332031E+02
 3.918629837E+01 3.006591797E+02
 3.921990585E+01 3.009526978E+02
 3.922817993E+01 3.010165100E+02
 3.938925552E+01 3.032672119E+02
 3.939398956E+01 3.033376465E+02
 3.952536011E+01 3.052344360E+02
 3.964752960E+01 3.073464966E+02
 3.968284225E+01 3.077005005E+02
 3.980789566E+01 3.086929626E+02
 3.991457748E+01 3.085730286E+02
 3.998065186E+01 3.085960999E+02
 4.011050797E+01 3.042785339E+02
 4.014257431E+01 3.035586853E+02
 4.018828583E+01 3.011671143E+02
 4.026477432E+01 2.964862061E+02
 4.034394073E+01 2.902250061E+02
 4.037544632E+01 2.880867615E+02
 4.048505020E+01 2.814007263E+02
 4.049753571E+01 2.808727417E+02
 4.056327820E+01 2.783098145E+02
 4.061925125E+01 2.760952759E+02
 4.062967300E+01 2.757064514E+02
 4.073553848E+01 2.737399597E+02
 4.076915359E+01 2.732575684E+02
 4.085065079E+01 2.727217102E+02
 4.089918900E+01 2.724679871E+02
 4.095870972E+01 2.730439758E+02
 4.101766205E+01 2.736118774E+02
 4.106068039E+01 2.709833984E+02
 4.112355804E+01 2.665828552E+02
 4.115861893E+01 2.621840820E+02
 4.121656418E+01 2.544673920E+02
 4.125251389E+01 2.287676544E+02
 4.129086304E+01 1.991140137E+02
