TITLE     = "VTK Data"
VARIABLES = "X"
"Velocity_X"
ZONE T="Slice: Y=29.226 (region 1)"
 STRANDID=491, SOLUTIONTIME=772
 I=244, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 4.288042450E+01 1.535704193E+02
 4.288063431E+01 1.388998413E+02
 4.288103104E+01 1.377300568E+02
 4.287057877E+01 1.741780701E+02
 4.286411667E+01 1.999957123E+02
 4.285020065E+01 1.815359497E+02
 4.284490204E+01 1.745130615E+02
 4.282995224E+01 1.797712402E+02
 4.282415009E+01 1.813938141E+02
 4.281160736E+01 1.780352325E+02
 4.280195999E+01 1.769374847E+02
 4.279448700E+01 1.775773621E+02
 4.278368378E+01 1.774853058E+02
 4.277399445E+01 1.774348755E+02
 4.276649475E+01 1.775107422E+02
 4.275130081E+01 1.775618286E+02
 4.272621918E+01 1.775056763E+02
 4.272269058E+01 1.775475159E+02
 4.271886826E+01 1.775828552E+02
 4.269580460E+01 1.779531555E+02
 4.267635727E+01 1.784005585E+02
 4.266968155E+01 1.785365295E+02
 4.266330338E+01 1.787048798E+02
 4.263902664E+01 1.794771118E+02
 4.261893463E+01 1.802125549E+02
 4.260724258E+01 1.806213226E+02
 4.257289886E+01 1.818483582E+02
 4.256550217E+01 1.821041870E+02
 4.253406525E+01 1.833392181E+02
 4.251527405E+01 1.840658569E+02
 4.249651718E+01 1.849293976E+02
 4.246987915E+01 1.861555481E+02
 4.244886017E+01 1.871131592E+02
 4.242247009E+01 1.883770905E+02
 4.239653015E+01 1.896487579E+02
 4.237258911E+01 1.908247070E+02
 4.233819199E+01 1.925359192E+02
 4.232024002E+01 1.933884125E+02
 4.228331375E+01 1.952245483E+02
 4.227383423E+01 1.957115784E+02
 4.224046326E+01 1.975425262E+02
 4.221279907E+01 1.990985565E+02
 4.217104340E+01 2.013909302E+02
 4.213249969E+01 2.034467010E+02
 4.210909653E+01 2.047584076E+02
 4.207054138E+01 2.069023132E+02
 4.204879379E+01 2.081251373E+02
 4.202182388E+01 2.096592407E+02
 4.198085022E+01 2.120309753E+02
 4.195148468E+01 2.136546326E+02
 4.190470886E+01 2.162757111E+02
 4.183006287E+01 2.203393860E+02
 4.182035065E+01 2.208660126E+02
 4.181502533E+01 2.211397858E+02
 4.172587204E+01 2.258460541E+02
 4.168975449E+01 2.276980591E+02
 4.163194275E+01 2.306717529E+02
 4.160448456E+01 2.319761047E+02
 4.154242325E+01 2.347736359E+02
 4.148641205E+01 2.369014130E+02
 4.141120148E+01 2.399002075E+02
 4.130684662E+01 2.434238434E+02
 4.126956940E+01 2.447197876E+02
 4.115306473E+01 2.478439331E+02
 4.113029861E+01 2.484472656E+02
 4.109579849E+01 2.491998138E+02
 4.101380920E+01 2.509615631E+02
 4.096397400E+01 2.514768066E+02
 4.090736771E+01 2.522389374E+02
 4.082642365E+01 2.529225159E+02
 4.079093933E+01 2.533003235E+02
 4.069891739E+01 2.538086853E+02
 4.066953659E+01 2.539599762E+02
 4.059850311E+01 2.539974365E+02
 4.054806900E+01 2.539589844E+02
 4.051713562E+01 2.537808075E+02
 4.045617294E+01 2.533080292E+02
 4.042049026E+01 2.530020447E+02
