TITLE     = "VTK Data"
VARIABLES = "X"
"Velocity_X"
ZONE T="Slice: Y=20.134 (region 1)"
 STRANDID=435, SOLUTIONTIME=772
 I=193, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 3.864108658E+01 2.071931000E+02
 3.864127731E+01 1.963044891E+02
 3.864139938E+01 1.878882599E+02
 3.860291290E+01 1.828016968E+02
 3.854574966E+01 1.727255554E+02
 3.848826218E+01 1.719268951E+02
 3.843465805E+01 1.712308960E+02
 3.836738586E+01 1.707375946E+02
 3.831545639E+01 1.703390198E+02
 3.823899460E+01 1.724656525E+02
 3.818555069E+01 1.739031525E+02
 3.809492111E+01 1.764410400E+02
 3.805523682E+01 1.774674377E+02
 3.789776611E+01 1.835227661E+02
 3.789601898E+01 1.835898743E+02
 3.789570999E+01 1.836012573E+02
 3.789530182E+01 1.836168518E+02
 3.775952911E+01 1.886673737E+02
 3.773384094E+01 1.897696991E+02
 3.765031815E+01 1.933318176E+02
 3.757722092E+01 1.962898712E+02
 3.750070953E+01 1.994000244E+02
 3.742146683E+01 2.026905212E+02
 3.729154968E+01 2.077942200E+02
 3.728366470E+01 2.081146088E+02
 3.711841965E+01 2.148104706E+02
 3.711433029E+01 2.149681091E+02
 3.710875702E+01 2.151959686E+02
 3.693269730E+01 2.219967804E+02
 3.686381531E+01 2.246709442E+02
 3.675297165E+01 2.285231628E+02
 3.664992142E+01 2.319498749E+02
 3.649856567E+01 2.361471710E+02
 3.645663071E+01 2.372866211E+02
 3.639390564E+01 2.388759308E+02
 3.627600479E+01 2.414706726E+02
 3.610062408E+01 2.451854706E+02
 3.609107971E+01 2.453855743E+02
 3.606416702E+01 2.458310547E+02
 3.591525650E+01 2.484523010E+02
 3.584735489E+01 2.494650116E+02
 3.576937103E+01 2.502221832E+02
 3.563102341E+01 2.510281525E+02
 3.558873749E+01 2.512631531E+02
 3.539167786E+01 2.524272461E+02
 3.537212372E+01 2.524930725E+02
 3.534722519E+01 2.525624847E+02
 3.518390274E+01 2.531119690E+02
 3.509707260E+01 2.529497986E+02
 3.502397919E+01 2.528884430E+02
 3.490625763E+01 2.524338989E+02
 3.485547638E+01 2.523039703E+02
 3.473913956E+01 2.514787750E+02
 3.468748856E+01 2.511203003E+02
 3.455322266E+01 2.499273529E+02
 3.453854752E+01 2.498219757E+02
 3.452300262E+01 2.496573792E+02
 3.440320969E+01 2.483216248E+02
 3.435567093E+01 2.477586212E+02
 3.428139114E+01 2.467797546E+02
 3.421042252E+01 2.458561859E+02
 3.416334915E+01 2.451112671E+02
 3.407550049E+01 2.437270813E+02
 3.405138779E+01 2.432512817E+02
 3.394799805E+01 2.412054749E+02
 3.394198608E+01 2.410629120E+02
 3.389489746E+01 2.399456787E+02
 3.383530426E+01 2.385303040E+02
 3.382767105E+01 2.383486786E+02
 3.373364258E+01 2.355266724E+02
 3.372011948E+01 2.351203308E+02
 3.366450882E+01 2.330697632E+02
 3.362252426E+01 2.315224304E+02
 3.360283279E+01 2.305622253E+02
 3.355694580E+01 2.283364105E+02
 3.354605103E+01 2.278056488E+02
 3.354133224E+01 2.275758209E+02
 3.349582291E+01 2.243421783E+02
 3.347393799E+01 2.227903900E+02
 3.344984436E+01 2.200870819E+02
 3.341820526E+01 2.165469666E+02
 3.340837860E+01 2.147076721E+02
 3.337231064E+01 2.079811554E+02
 3.337151337E+01 2.077253723E+02
 3.336741257E+01 2.064136047E+02
 3.334020233E+01 1.977063141E+02
 3.333485794E+01 1.960009766E+02
 3.331324005E+01 1.841711426E+02
 3.330472183E+01 1.795205841E+02
 3.329051208E+01 1.664760590E+02
 3.328107071E+01 1.578249664E+02
 3.327207565E+01 1.444602356E+02
 3.326336288E+01 1.315418243E+02
 3.325651550E+01 1.163911896E+02
 3.325130081E+01 1.048159561E+02
 3.324720383E+01 9.323432922E+01
 3.324458313E+01 8.578080750E+01
 3.324328613E+01 8.311206055E+01
 3.324249649E+01 8.147586060E+01
 3.324289322E+01 8.509297943E+01
 3.324354553E+01 9.099726105E+01
 3.324538422E+01 9.988713837E+01
 3.324810791E+01 1.130519485E+02
 3.325232697E+01 1.280444489E+02
 3.325746918E+01 1.462993927E+02
 3.326552200E+01 1.664355927E+02
 3.327255249E+01 1.840039825E+02
 3.328673172E+01 2.071795044E+02
 3.329399109E+01 2.190241547E+02
 3.331798172E+01 2.430435944E+02
 3.332239532E+01 2.474520111E+02
 3.334489441E+01 2.602073364E+02
 3.335855484E+01 2.679548340E+02
 3.336326218E+01 2.693110046E+02
 3.340351868E+01 2.808643188E+02
 3.343011093E+01 2.841963196E+02
 3.345867157E+01 2.877555237E+02
 3.352241135E+01 2.905544128E+02
 3.352566528E+01 2.906976929E+02
 3.352833939E+01 2.907269287E+02
 3.360666275E+01 2.915599976E+02
 3.370248795E+01 2.920212097E+02
 3.370425034E+01 2.920294800E+02
 3.380250931E+01 2.924725952E+02
 3.381173706E+01 2.925138245E+02
 3.390664291E+01 2.927291870E+02
 3.393201828E+01 2.927988892E+02
 3.401353836E+01 2.929910583E+02
 3.405946732E+01 2.931546631E+02
 3.412297058E+01 2.934352112E+02
 3.419427872E+01 2.937263184E+02
 3.423263931E+01 2.939539185E+02
 3.434669113E+01 2.945085144E+02
 3.434834290E+01 2.945206604E+02
 3.435537338E+01 2.945845947E+02
 3.446628189E+01 2.955738831E+02
 3.448994827E+01 2.958140259E+02
 3.458361435E+01 2.968611145E+02
 3.462812042E+01 2.973010864E+02
 3.472409058E+01 2.981838074E+02
 3.477542114E+01 2.986066589E+02
 3.484865570E+01 2.995635071E+02
 3.490039825E+01 3.001513062E+02
 3.500588226E+01 3.011642456E+02
 3.506010056E+01 3.015805664E+02
 3.520304489E+01 3.027603760E+02
 3.523214340E+01 3.029474182E+02
 3.539977646E+01 3.039164734E+02
 3.540737534E+01 3.039622192E+02
 3.542728806E+01 3.040343323E+02
 3.559016418E+01 3.046708374E+02
 3.566105270E+01 3.050865479E+02
 3.580762100E+01 3.056105347E+02
 3.585851288E+01 3.058103943E+02
 3.596614838E+01 3.059413757E+02
 3.605814743E+01 3.060713196E+02
 3.611481094E+01 3.060871887E+02
 3.625333023E+01 3.060262756E+02
 3.644303894E+01 3.055155029E+02
 3.645888519E+01 3.054740295E+02
 3.654601669E+01 3.047000122E+02
 3.666848373E+01 3.035708313E+02
 3.668572998E+01 3.032325745E+02
 3.687967682E+01 2.997907410E+02
 3.690108871E+01 2.992201538E+02
 3.709431076E+01 2.945044250E+02
 3.709782791E+01 2.943904114E+02
 3.719236755E+01 2.910696716E+02
 3.728945160E+01 2.876753540E+02
 3.729291916E+01 2.875553284E+02
 3.729964066E+01 2.873017273E+02
 3.746352386E+01 2.812270203E+02
 3.758092117E+01 2.767649231E+02
 3.761758804E+01 2.753420715E+02
 3.765578842E+01 2.740260925E+02
 3.775418854E+01 2.709951172E+02
 3.786045837E+01 2.692113953E+02
 3.789461136E+01 2.684431763E+02
 3.791408920E+01 2.680811157E+02
 3.796134186E+01 2.676741638E+02
 3.803391266E+01 2.675905762E+02
 3.810850143E+01 2.692997437E+02
 3.811070251E+01 2.693515625E+02
 3.811432648E+01 2.693882446E+02
 3.820223999E+01 2.702605896E+02
 3.822505951E+01 2.705685120E+02
 3.832540894E+01 2.719890747E+02
 3.835806274E+01 2.701596985E+02
 3.844150162E+01 2.655783081E+02
 3.847894669E+01 2.608976135E+02
 3.854914093E+01 2.521317139E+02
 3.859328461E+01 2.306225891E+02
 3.864108658E+01 2.071931000E+02
