TITLE     = "VTK Data"
VARIABLES = "X"
"Velocity_X"
ZONE T="Slice: Y=23.868 (region 1)"
 STRANDID=458, SOLUTIONTIME=772
 I=210, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 4.038232040E+01 1.901700134E+02
 4.038257599E+01 1.829030457E+02
 4.038272858E+01 1.786686707E+02
 4.033588409E+01 1.720744019E+02
 4.032690430E+01 1.708398132E+02
 4.027014542E+01 1.679032135E+02
 4.026544571E+01 1.676697998E+02
 4.020492172E+01 1.654281311E+02
 4.020004272E+01 1.652829132E+02
 4.013226700E+01 1.671485596E+02
 4.011777878E+01 1.674947205E+02
 4.006397247E+01 1.681102600E+02
 4.005784988E+01 1.682116699E+02
 4.005304337E+01 1.684179382E+02
 3.999869919E+01 1.708604736E+02
 3.997538757E+01 1.719225616E+02
 3.992415237E+01 1.744520111E+02
 3.986479950E+01 1.772856903E+02
 3.982266235E+01 1.792807312E+02
 3.976049423E+01 1.820495911E+02
 3.971062851E+01 1.843936462E+02
 3.967584610E+01 1.860687103E+02
 3.961291504E+01 1.892802887E+02
 3.960933304E+01 1.894598389E+02
 3.954390717E+01 1.928192291E+02
 3.952950668E+01 1.935400085E+02
 3.946019745E+01 1.970140533E+02
 3.938889313E+01 2.005871735E+02
 3.933440018E+01 2.032496185E+02
 3.925008011E+01 2.072941132E+02
 3.920710754E+01 2.094290161E+02
 3.913701248E+01 2.128627625E+02
 3.908884811E+01 2.150942688E+02
 3.898532867E+01 2.197114410E+02
 3.895685959E+01 2.210117035E+02
 3.894072723E+01 2.217459869E+02
 3.883662415E+01 2.261432648E+02
 3.877340698E+01 2.284251556E+02
 3.868614960E+01 2.311585236E+02
 3.858095551E+01 2.346154938E+02
 3.845990753E+01 2.383606415E+02
 3.843379211E+01 2.391173401E+02
 3.829013824E+01 2.420139465E+02
 3.823273849E+01 2.432675629E+02
 3.808314514E+01 2.458164368E+02
 3.804499817E+01 2.464215088E+02
 3.790452576E+01 2.480323792E+02
 3.786847687E+01 2.484424133E+02
 3.774221039E+01 2.493735199E+02
 3.769110107E+01 2.497123566E+02
 3.759956360E+01 2.500402069E+02
 3.751659775E+01 2.502950897E+02
 3.746795273E+01 2.503794403E+02
 3.739023972E+01 2.504978638E+02
 3.735580444E+01 2.505672760E+02
 3.733113480E+01 2.505706787E+02
 3.725830460E+01 2.504202271E+02
 3.718209076E+01 2.501681061E+02
 3.715312958E+01 2.500632935E+02
 3.705955124E+01 2.497275391E+02
 3.704593658E+01 2.496825104E+02
 3.704182434E+01 2.496675568E+02
 3.693288422E+01 2.488745422E+02
 3.691521072E+01 2.487476959E+02
 3.686707687E+01 2.482559509E+02
 3.681831741E+01 2.477581787E+02
 3.679629135E+01 2.474848022E+02
 3.672399902E+01 2.467030945E+02
 3.667862701E+01 2.460506744E+02
 3.662695312E+01 2.453528748E+02
 3.657659531E+01 2.443706970E+02
 3.651874542E+01 2.433191528E+02
 3.648048401E+01 2.425043488E+02
 3.641099167E+01 2.410030975E+02
 3.638927460E+01 2.404559326E+02
 3.630995178E+01 2.384312286E+02
 3.630022812E+01 2.381094513E+02
 3.621969986E+01 2.354439240E+02
 3.621673203E+01 2.353229370E+02
 3.621110916E+01 2.350959930E+02
 3.616181183E+01 2.331016235E+02
 3.613571548E+01 2.320585785E+02
 3.611019135E+01 2.306824646E+02
 3.606586456E+01 2.283034210E+02
 3.606208801E+01 2.280006866E+02
 3.605159760E+01 2.271638336E+02
 3.601946259E+01 2.245977478E+02
 3.600790024E+01 2.236783295E+02
 3.598092651E+01 2.202282867E+02
 3.595997238E+01 2.175574646E+02
 3.594617081E+01 2.145926208E+02
 3.592050934E+01 2.090964661E+02
 3.591529465E+01 2.071690216E+02
 3.588840103E+01 1.972572632E+02
 3.588832855E+01 1.972305145E+02
 3.588831329E+01 1.972253723E+02
 3.586585617E+01 1.830597534E+02
 3.586240768E+01 1.808921051E+02
 3.584700394E+01 1.645630035E+02
 3.584207535E+01 1.593570862E+02
 3.583182526E+01 1.417748566E+02
 3.582682419E+01 1.332289734E+02
 3.582044601E+01 1.166946640E+02
 3.581638718E+01 1.062082214E+02
 3.581391907E+01 9.786645508E+01
 3.581052017E+01 8.634558868E+01
 3.580970001E+01 8.402913666E+01
 3.580863571E+01 8.102008057E+01
 3.580915070E+01 8.634497070E+01
 3.580953217E+01 9.030338287E+01
 3.581198120E+01 1.040280914E+02
 3.581360245E+01 1.130779800E+02
 3.581912613E+01 1.357700348E+02
 3.582196808E+01 1.473957214E+02
 3.583209610E+01 1.762982788E+02
 3.583534241E+01 1.855361176E+02
 3.585232544E+01 2.166851807E+02
 3.585419083E+01 2.200959167E+02
 3.586661530E+01 2.338409729E+02
 3.587899399E+01 2.475387726E+02
 3.588243484E+01 2.496664429E+02
 3.591042709E+01 2.669668274E+02
 3.592632675E+01 2.719330139E+02
 3.594939041E+01 2.791391907E+02
 3.598890305E+01 2.847050781E+02
 3.599707031E+01 2.858557434E+02
 3.601456070E+01 2.868456726E+02
 3.605492020E+01 2.891386414E+02
 3.609025192E+01 2.898549805E+02
 3.612481689E+01 2.905550537E+02
 3.616457367E+01 2.910170593E+02
 3.620898819E+01 2.915484009E+02
 3.626744461E+01 2.922015381E+02
 3.629940796E+01 2.925580139E+02
 3.635316086E+01 2.928197632E+02
 3.640072250E+01 2.930083008E+02
 3.644467545E+01 2.933084106E+02
 3.651182556E+01 2.938619080E+02
 3.653756332E+01 2.942730408E+02
 3.661246872E+01 2.952396240E+02
 3.662052155E+01 2.953243408E+02
 3.664255905E+01 2.955474243E+02
 3.670584869E+01 2.961963806E+02
 3.672408295E+01 2.964083557E+02
 3.679919815E+01 2.969181824E+02
 3.682067871E+01 2.970273132E+02
 3.690568542E+01 2.977610474E+02
 3.690965271E+01 2.978010254E+02
 3.699493790E+01 2.988389893E+02
 3.703862381E+01 2.992925110E+02
 3.711903763E+01 3.000918884E+02
 3.717154694E+01 3.005509644E+02
 3.724174500E+01 3.011355286E+02
 3.731575394E+01 3.019214478E+02
 3.733902359E+01 3.020694580E+02
 3.742377472E+01 3.024559021E+02
 3.745729828E+01 3.023187866E+02
 3.756542206E+01 3.019912720E+02
 3.763037491E+01 3.017133789E+02
 3.774396896E+01 3.012946472E+02
 3.780084229E+01 3.010989990E+02
 3.792007446E+01 3.004447632E+02
 3.797344208E+01 3.002175293E+02
 3.809599686E+01 2.997102051E+02
 3.818053818E+01 2.997894592E+02
 3.824588776E+01 2.998747253E+02
 3.836600494E+01 3.007086182E+02
 3.843556595E+01 3.010993958E+02
 3.859075165E+01 3.029727478E+02
 3.859492874E+01 3.030217590E+02
 3.859743881E+01 3.030582275E+02
 3.875211334E+01 3.054261169E+02
 3.886983871E+01 3.067795410E+02
 3.888780594E+01 3.070315552E+02
 3.891117096E+01 3.070267029E+02
 3.902462006E+01 3.062834473E+02
 3.910722733E+01 3.038004456E+02
 3.913436127E+01 3.032222900E+02
 3.916071701E+01 3.018054504E+02
 3.923823929E+01 2.970581970E+02
 3.934570312E+01 2.895367126E+02
 3.935179138E+01 2.891283264E+02
 3.935781479E+01 2.888112183E+02
 3.946438217E+01 2.826162109E+02
 3.952650070E+01 2.798970337E+02
 3.953728867E+01 2.793942261E+02
 3.960623169E+01 2.770644531E+02
 3.960631561E+01 2.770617371E+02
 3.968244553E+01 2.753047485E+02
 3.977415085E+01 2.738330383E+02
 3.977489090E+01 2.738290710E+02
 3.977563095E+01 2.738367920E+02
 3.986115646E+01 2.745766296E+02
 3.991227341E+01 2.756653442E+02
 3.994003677E+01 2.759066162E+02
 4.002805328E+01 2.777445068E+02
 4.003120422E+01 2.778226929E+02
 4.003341293E+01 2.779004517E+02
 4.004207993E+01 2.782726440E+02
 4.010294342E+01 2.800849304E+02
 4.014307785E+01 2.792642517E+02
 4.014513779E+01 2.792050171E+02
 4.014754105E+01 2.790815735E+02
 4.019837189E+01 2.762112122E+02
 4.021877670E+01 2.723547668E+02
 4.026689911E+01 2.635097656E+02
 4.028974533E+01 2.581931458E+02
 4.032751465E+01 2.491743164E+02
 4.035514069E+01 2.187440033E+02
 4.038232040E+01 1.901700134E+02
